CityType,EmployeeName,Date,Amount
Moderately Expensive City,William Babbington,4/5/2011,58.09
Inexpensive City,Nathaniel Martin,4/6/2011,32.12
Expensive City,Clarissa Oakes,4/7/2011,81.16
Inexpensive City,Stephen Maturin,4/7/2011,20.72
Moderately Expensive City,Stephen Maturin,4/7/2011,39.89
Expensive City,William Babbington,4/7/2011,85.83
Inexpensive City,William Mowett,4/7/2011,20.58
Inexpensive City,William Babbington,4/8/2011,32.5
Inexpensive City,Jack Aubrey,4/11/2011,25.18
Moderately Expensive City,Molly Harte,4/11/2011,37.54
Expensive City,Sophia Aubrey,4/11/2011,108.56
Inexpensive City,William Babbington,4/11/2011,28.55
Expensive City,Nathaniel Martin,4/12/2011,86.5
Inexpensive City,Stephen Maturin,4/12/2011,28.94
Inexpensive City,Ebenezer Graham,4/13/2011,27.66
Moderately Expensive City,Emily Sweeting,4/13/2011,32.93
Moderately Expensive City,Jack Aubrey,4/13/2011,29.75
Inexpensive City,Sophia Aubrey,4/13/2011,30.12
Inexpensive City,Stephen Maturin,4/13/2011,21.67
Inexpensive City,William Babbington,4/13/2011,25.8
Moderately Expensive City,William Babbington,4/13/2011,49.17
Moderately Expensive City,William Mowett,4/13/2011,65.88
Inexpensive City,Diana Villiers,4/14/2011,35.03
Moderately Expensive City,Molly Harte,4/14/2011,50.62
Moderately Expensive City,Nathaniel Martin,4/14/2011,44.04
Inexpensive City,Nathaniel Martin,4/14/2011,28.36
Moderately Expensive City,William Babbington,4/14/2011,44.05
Expensive City,Jack Aubrey,4/15/2011,77.1
Inexpensive City,Molly Harte,4/15/2011,17.18
Expensive City,William Babbington,4/15/2011,105.27
Expensive City,Diana Villiers,4/18/2011,67.84
Moderately Expensive City,Nathaniel Martin,4/18/2011,50.46
Moderately Expensive City,Stephen Maturin,4/18/2011,40.33
Moderately Expensive City,William Babbington,4/18/2011,36.29
Moderately Expensive City,Barret Bonden,4/20/2011,43.37
Moderately Expensive City,Clarissa Oakes,4/20/2011,43.78
Expensive City,Clarissa Oakes,4/20/2011,79.37
Inexpensive City,Diana Villiers,4/20/2011,36.37
Expensive City,William Mowett,4/20/2011,60.58
Moderately Expensive City,Molly Harte,4/21/2011,45.22
Moderately Expensive City,Nathaniel Martin,4/21/2011,44.65
Expensive City,Nathaniel Martin,4/21/2011,95.03
Inexpensive City,Stephen Maturin,4/21/2011,21.31
Moderately Expensive City,Stephen Maturin,4/21/2011,44.73
Expensive City,Diana Villiers,4/25/2011,116.05
Expensive City,Jack Aubrey,4/25/2011,58.42
Moderately Expensive City,Jack Aubrey,4/25/2011,48
Moderately Expensive City,Molly Harte,4/25/2011,48.86
Expensive City,Molly Harte,4/25/2011,97.72
Inexpensive City,Nathaniel Martin,4/25/2011,28.32
Inexpensive City,Sophia Aubrey,4/25/2011,33.19
Moderately Expensive City,Sophia Aubrey,4/25/2011,25.39
Expensive City,Stephen Maturin,4/25/2011,116.2
Moderately Expensive City,Molly Harte,4/26/2011,49.19
Expensive City,Sophia Aubrey,4/26/2011,88.16
Expensive City,Molly Harte,4/28/2011,85.02
Moderately Expensive City,Nathaniel Martin,4/28/2011,27.61
Inexpensive City,Nathaniel Martin,4/28/2011,22.84
Moderately Expensive City,William Babbington,4/28/2011,29.37
Inexpensive City,William Mowett,4/28/2011,22.92
Expensive City,Barret Bonden,4/29/2011,76.77
Inexpensive City,Molly Harte,4/29/2011,23.41
Expensive City,Nathaniel Martin,4/29/2011,79.09
Moderately Expensive City,Sophia Aubrey,4/29/2011,59.04
Expensive City,Sophia Aubrey,4/29/2011,115.71
Inexpensive City,Stephen Maturin,4/29/2011,20.12
Expensive City,Clarissa Oakes,5/2/2011,58.69
Expensive City,Jack Aubrey,5/2/2011,79.5
Inexpensive City,Sophia Aubrey,5/2/2011,27.97
Expensive City,William Babbington,5/2/2011,92.23
Moderately Expensive City,Emily Sweeting,5/3/2011,29.82
Moderately Expensive City,Jack Aubrey,5/3/2011,53.99
Moderately Expensive City,Sophia Aubrey,5/3/2011,33.09
Moderately Expensive City,William Mowett,5/3/2011,30.93
Moderately Expensive City,Clarissa Oakes,5/4/2011,43.29
Expensive City,Jack Aubrey,5/5/2011,93.88
Moderately Expensive City,Sophia Aubrey,5/5/2011,36.59
Inexpensive City,Sophia Aubrey,5/5/2011,30.64
Inexpensive City,William Babbington,5/5/2011,27.9
Expensive City,Diana Villiers,5/6/2011,110.24
Moderately Expensive City,Diana Villiers,5/6/2011,27.4
Inexpensive City,Jack Aubrey,5/6/2011,20.6
Inexpensive City,Molly Harte,5/6/2011,17.58
Moderately Expensive City,Stephen Maturin,5/6/2011,23.54
Moderately Expensive City,William Mowett,5/6/2011,34.9
Expensive City,William Mowett,5/6/2011,85.04
Inexpensive City,Jack Aubrey,5/10/2011,20.13
Moderately Expensive City,Stephen Maturin,5/10/2011,40.84
Expensive City,Stephen Maturin,5/10/2011,92.15
Inexpensive City,William Mowett,5/10/2011,19.43
Expensive City,William Mowett,5/10/2011,81.91
Expensive City,Clarissa Oakes,5/11/2011,103.99
Expensive City,Jack Aubrey,5/11/2011,53.13
Inexpensive City,Clarissa Oakes,5/12/2011,22.72
Expensive City,Diana Villiers,5/12/2011,68.34
Moderately Expensive City,Emily Sweeting,5/12/2011,54.02
Inexpensive City,Emily Sweeting,5/12/2011,18.54
Moderately Expensive City,Jack Aubrey,5/12/2011,29.33
Moderately Expensive City,William Babbington,5/12/2011,43.19
Moderately Expensive City,Molly Harte,5/13/2011,36.71
Expensive City,William Babbington,5/13/2011,50.9
Inexpensive City,Barret Bonden,5/16/2011,26.55
Expensive City,Emily Sweeting,5/16/2011,59
Inexpensive City,Clarissa Oakes,5/17/2011,26.37
Inexpensive City,Ebenezer Graham,5/17/2011,22.54
Expensive City,Emily Sweeting,5/17/2011,93.13
Moderately Expensive City,Jack Aubrey,5/17/2011,33.29
Inexpensive City,Nathaniel Martin,5/17/2011,26.66
Inexpensive City,Emily Sweeting,5/18/2011,26.17
Expensive City,Sophia Aubrey,5/18/2011,66.55
Moderately Expensive City,Ebenezer Graham,5/19/2011,28.29
Inexpensive City,Molly Harte,5/19/2011,25.41
Inexpensive City,Sophia Aubrey,5/19/2011,20.3
Inexpensive City,William Mowett,5/19/2011,17.57
Moderately Expensive City,William Mowett,5/19/2011,35.73
Moderately Expensive City,Barret Bonden,5/20/2011,54.45
Inexpensive City,Molly Harte,5/20/2011,29.04
Moderately Expensive City,Sophia Aubrey,5/20/2011,30.64
Inexpensive City,William Mowett,5/20/2011,23.99
Expensive City,Diana Villiers,5/23/2011,79.76
Inexpensive City,Nathaniel Martin,5/23/2011,20.35
Expensive City,William Mowett,5/23/2011,99.82
Expensive City,Emily Sweeting,5/24/2011,76.75
Expensive City,Stephen Maturin,5/24/2011,160.07
Expensive City,William Mowett,5/24/2011,88.83
Expensive City,Barret Bonden,5/25/2011,91.9
Moderately Expensive City,Clarissa Oakes,5/25/2011,21.44
Inexpensive City,Diana Villiers,5/25/2011,25.94
Moderately Expensive City,Molly Harte,5/25/2011,43.52
Moderately Expensive City,Nathaniel Martin,5/25/2011,42.69
Inexpensive City,Emily Sweeting,5/26/2011,29.57
Expensive City,Molly Harte,5/26/2011,99.26
Expensive City,Nathaniel Martin,5/26/2011,64.45
Moderately Expensive City,Barret Bonden,5/27/2011,46.08
Moderately Expensive City,Clarissa Oakes,5/27/2011,27.41
Moderately Expensive City,Diana Villiers,5/27/2011,37.83
Inexpensive City,Molly Harte,5/30/2011,25.02
Moderately Expensive City,Sophia Aubrey,5/30/2011,43.77
Inexpensive City,Sophia Aubrey,5/30/2011,23.45
Moderately Expensive City,Stephen Maturin,5/30/2011,40.07
Moderately Expensive City,William Mowett,5/30/2011,35.97
Expensive City,William Mowett,5/30/2011,76.97
Moderately Expensive City,Barret Bonden,6/1/2011,20.12
Expensive City,Barret Bonden,6/1/2011,112.33
Inexpensive City,Clarissa Oakes,6/1/2011,16.43
Moderately Expensive City,Emily Sweeting,6/1/2011,44.39
Expensive City,Nathaniel Martin,6/1/2011,96.14
Moderately Expensive City,William Babbington,6/1/2011,44.27
Inexpensive City,Diana Villiers,6/3/2011,19.62
Expensive City,Ebenezer Graham,6/3/2011,106.6
Moderately Expensive City,Emily Sweeting,6/3/2011,21.69
Expensive City,Jack Aubrey,6/3/2011,81.45
Inexpensive City,Stephen Maturin,6/3/2011,21.29
Moderately Expensive City,William Babbington,6/3/2011,38.59
Moderately Expensive City,Diana Villiers,6/6/2011,32.16
Inexpensive City,Jack Aubrey,6/6/2011,30.04
Expensive City,Sophia Aubrey,6/6/2011,92.33
Moderately Expensive City,William Mowett,6/6/2011,41.71
Moderately Expensive City,Clarissa Oakes,6/7/2011,60.27
Expensive City,Diana Villiers,6/7/2011,105.97
Inexpensive City,Jack Aubrey,6/7/2011,14.92
Moderately Expensive City,Stephen Maturin,6/7/2011,38.25
Expensive City,Molly Harte,6/9/2011,107.87
Expensive City,Barret Bonden,6/10/2011,88.78
Moderately Expensive City,Clarissa Oakes,6/10/2011,36.79
Inexpensive City,Clarissa Oakes,6/10/2011,17.4
Inexpensive City,Emily Sweeting,6/10/2011,22.62
Expensive City,Jack Aubrey,6/10/2011,68.06
Inexpensive City,Sophia Aubrey,6/10/2011,19.97
Inexpensive City,Stephen Maturin,6/10/2011,24.15
Moderately Expensive City,William Mowett,6/10/2011,29.09
Moderately Expensive City,Ebenezer Graham,6/13/2011,30.46
Inexpensive City,Emily Sweeting,6/13/2011,18.76
Expensive City,Nathaniel Martin,6/13/2011,71.78
Expensive City,William Babbington,6/13/2011,78.96
Inexpensive City,Clarissa Oakes,6/15/2011,33.28
Expensive City,Ebenezer Graham,6/15/2011,126.38
Expensive City,Emily Sweeting,6/15/2011,128.11
Inexpensive City,Emily Sweeting,6/15/2011,24.66
Expensive City,Jack Aubrey,6/15/2011,83.24
Inexpensive City,William Mowett,6/15/2011,26.36
Inexpensive City,Jack Aubrey,6/16/2011,19.59
Expensive City,Jack Aubrey,6/16/2011,98.38
Moderately Expensive City,William Babbington,6/16/2011,38.51
Expensive City,Emily Sweeting,6/17/2011,91.99
Expensive City,Jack Aubrey,6/17/2011,55.05
Moderately Expensive City,Molly Harte,6/17/2011,38.92
Inexpensive City,Molly Harte,6/17/2011,19.98
Moderately Expensive City,Nathaniel Martin,6/17/2011,47.03
Moderately Expensive City,Diana Villiers,6/20/2011,26.44
Inexpensive City,Diana Villiers,6/20/2011,23.51
Inexpensive City,Ebenezer Graham,6/20/2011,20.73
Moderately Expensive City,Nathaniel Martin,6/20/2011,39.62
Expensive City,Nathaniel Martin,6/20/2011,78.22
Moderately Expensive City,William Babbington,6/20/2011,38.86
Inexpensive City,Diana Villiers,6/22/2011,29.86
Moderately Expensive City,Jack Aubrey,6/22/2011,28.03
Expensive City,Molly Harte,6/22/2011,96.86
Inexpensive City,Nathaniel Martin,6/22/2011,15.63
Moderately Expensive City,William Babbington,6/22/2011,37.65
Inexpensive City,Diana Villiers,6/23/2011,14.64
Expensive City,Stephen Maturin,6/23/2011,107.51
Inexpensive City,William Babbington,6/23/2011,24.86
Moderately Expensive City,Ebenezer Graham,6/24/2011,39.64
Inexpensive City,Jack Aubrey,6/24/2011,25.91
Moderately Expensive City,Jack Aubrey,6/24/2011,34.99
Moderately Expensive City,Nathaniel Martin,6/24/2011,51.84
Moderately Expensive City,Barret Bonden,6/27/2011,41.32
Expensive City,Molly Harte,6/27/2011,79.22
Inexpensive City,William Mowett,6/27/2011,21.87
Inexpensive City,Clarissa Oakes,6/28/2011,25.26
Inexpensive City,Emily Sweeting,6/28/2011,18.11
Inexpensive City,Clarissa Oakes,6/29/2011,25.78
Moderately Expensive City,Molly Harte,6/29/2011,27.37
Expensive City,Molly Harte,6/29/2011,70.72
Inexpensive City,Nathaniel Martin,6/29/2011,27.08
Expensive City,Barret Bonden,6/30/2011,119.55
Moderately Expensive City,Clarissa Oakes,6/30/2011,35.68
Moderately Expensive City,Emily Sweeting,6/30/2011,52.76
Inexpensive City,Jack Aubrey,6/30/2011,27.68
Inexpensive City,Clarissa Oakes,7/1/2011,19.82
Expensive City,Emily Sweeting,7/1/2011,94.53
Expensive City,Sophia Aubrey,7/1/2011,72.18
Moderately Expensive City,William Mowett,7/1/2011,37.96
Inexpensive City,Jack Aubrey,7/5/2011,17.75
Inexpensive City,Molly Harte,7/5/2011,28.93
Expensive City,Molly Harte,7/5/2011,114.87
Inexpensive City,William Babbington,7/5/2011,18.11
Moderately Expensive City,Ebenezer Graham,7/6/2011,44.9
Expensive City,Jack Aubrey,7/6/2011,75.02
Moderately Expensive City,Jack Aubrey,7/6/2011,26.84
Inexpensive City,Ebenezer Graham,7/7/2011,16.42
Moderately Expensive City,Sophia Aubrey,7/7/2011,40.11
Inexpensive City,William Mowett,7/7/2011,27.76
Moderately Expensive City,Ebenezer Graham,7/8/2011,49.75
Expensive City,Emily Sweeting,7/8/2011,95.95
Moderately Expensive City,Jack Aubrey,7/8/2011,27.52
Inexpensive City,Emily Sweeting,7/11/2011,18.67
Moderately Expensive City,Molly Harte,7/11/2011,27.7
Inexpensive City,Nathaniel Martin,7/11/2011,26.75
Inexpensive City,William Babbington,7/11/2011,29.55
Inexpensive City,William Mowett,7/11/2011,23.56
Inexpensive City,Barret Bonden,7/12/2011,21.1
Moderately Expensive City,Barret Bonden,7/12/2011,30.41
Moderately Expensive City,Diana Villiers,7/12/2011,60.07
Inexpensive City,Jack Aubrey,7/12/2011,16.88
Moderately Expensive City,Stephen Maturin,7/12/2011,34.59
Moderately Expensive City,Diana Villiers,7/13/2011,60.85
Moderately Expensive City,Ebenezer Graham,7/13/2011,9.66
Inexpensive City,Jack Aubrey,7/13/2011,20.96
Inexpensive City,Molly Harte,7/13/2011,18.69
Expensive City,Nathaniel Martin,7/13/2011,60.43
Inexpensive City,Stephen Maturin,7/13/2011,21.85
Moderately Expensive City,Jack Aubrey,7/14/2011,32.04
Expensive City,Nathaniel Martin,7/14/2011,91.31
Inexpensive City,Sophia Aubrey,7/14/2011,24.3
Inexpensive City,Clarissa Oakes,7/15/2011,30.35
Moderately Expensive City,Clarissa Oakes,7/15/2011,48.73
Inexpensive City,Molly Harte,7/15/2011,27.46
Expensive City,Molly Harte,7/15/2011,81.3
Expensive City,Sophia Aubrey,7/15/2011,102.87
Inexpensive City,William Mowett,7/15/2011,26.03
Moderately Expensive City,Clarissa Oakes,7/18/2011,36.67
Moderately Expensive City,Diana Villiers,7/18/2011,36.89
Moderately Expensive City,William Mowett,7/18/2011,40.94
Expensive City,William Mowett,7/18/2011,77.87
Expensive City,Emily Sweeting,7/19/2011,54.25
Moderately Expensive City,Molly Harte,7/19/2011,35.03
Expensive City,Nathaniel Martin,7/19/2011,79.3
Inexpensive City,Stephen Maturin,7/19/2011,14.85
